Name	Modern (and former) nationality	Centuries	Main areas explored
Antonio de Abreu	Portuguese	16th	Indonesia
William Adams	English	17th	Japan
Diogo Afonso	Portuguese	15th	Northwest African coast
Sir Crispin Agnew of Lochnaw Bt	Scottish	20th	Greenland, Elephant Island, Northern Patagonian Icefield, Himalayas
Charles Albanel	French	17th	Canada
Afonso de Albuquerque	Portuguese	16th	Asia
Buzz Aldrin	American	20th	The Moon
Pêro de Alenquer	Portuguese	15th/16th	Indian Ocean
Alexander the Great	Greek (Macedonian)	4th BC	Indus River, Hindu Kush
Jean Alfonse (João Afonso)	Portuguese-French	15th/16th	Indian Ocean, Southeast Asia, possibly Australia; Brazil, North America
Benedict Allen	English	20th/21st	various
Diego de Almagro	Spanish	16th	Peru, Chile
László Almásy	Hungarian	19th/20th	Africa
Francisco de Almeida	Portuguese	16th	India
Lourenço de Almeida	Portuguese	16th	Sri Lanka, India
Pedro de Alvarado	Spanish	16th	Mexico, Guatemala, Honduras
Francisco Álvares	Portuguese	16th	Ethiopia
Gonçalo Álvares	Portuguese	15th	Gough Island, Namibia
Jorge Álvares	Portuguese	16th	China
Roald Amundsen	Norwegian	20th	South Pole, Antarctica, Northwest Passage
José Alberto de Oliveira Anchieta	Portuguese	19th	Gough Island
Charles John Andersson	Swedish	19th	Southern Africa
António de Andrade	Portuguese	16th/17th	India, Tibet
Fernão Pires de Andrade	Portuguese	16th	Ming China
Salomon August Andrée	Swedish	19th	Arctic
Roy Chapman Andrews	American	20th	China, Mongolia
Juan Bautista de Anza	Spanish	18th	California
Dominick Arduin	French	20th/21st	North Pole
Henryk Arctowski	Polish	20th	Antarctic, South America
Neil Armstrong	American	20th	The Moon
Ingólfur Arnarson	Norse	9th	Iceland
Vladimir Arsenyev	Russian	20th	Far East
Michael Asher	English	20th	Africa
Pêro de Ataíde	Portuguese	16th/17th	Indian Ocean
Vasco de Ataíde	Portuguese	16th/17th	India, Tibet
Vladimir Atlasov	Siberian Cossack	17th	Kamchatka Peninsula
François Xavier Aubry	French Canadian	19th	American Southwest
Väinö Auer	Finnish	20th	Tierra del Fuego and Patagonia
Pedro Menéndez de Avilés	Spanish	16th	Florida
Juan de Ayala	Spanish	18th	California
Lucas Vázquez de Ayllón	Spanish	16th	South Carolina
Diogo de Azambuja	Portuguese	15th	West African coast
George Back	English	19th	Canadian Arctic
William Baffin	English	17th	Northwest Passage
Samuel Baker	English	19th	Africa
Vasco Núñez de Balboa	Spanish	16th	Panama, 'discovered' the Pacific Ocean
Robert Ballard	American	20th	deep sea wrecks, Titanic
Ann Bancroft	American	20th/21st	Arctic, Antarctic
Joseph Banks	English	18th	Newfoundland and Labrador, South Pacific
Hong Bao	Chinese	15th	South Asia, Southeast Asia, Middle East, East African coast
Giosafat Barbaro	Italian	15th	Black Sea, Near East
Duarte Barbosa	Portuguese	15th/16th	Indian Ocean, 1st circumnavigation
Pêro de Barcelos	Portuguese	15th/16th	North America
Afonso Gonçalves Baldaia	Portuguese	15th	Western Sahara
Jeanne Baré	French	18th/19th	Pacific Ocean
Willem Barentsz	Dutch	16th	Northeast Passage, Novaya Zemlya, Svalbard
Heinrich Barth	German	19th	Central and northern Africa
Robert Bartlett	Newfoundlander	20th	Arctic
George Bass	English	18th	Australia, Tasmania
Henry Walter Bates	English	19th	Amazon basin
Abu Abdullah Muhammad Ibn Battuta[1][2]	Marinid	14th	Africa, Central Asia, China, Europe, Indian subcontinent, Middle East, Russia, Southeast Asia
Nicolas Baudin	French	18th	Australia
James Beckwourth	American	19th	Sierra Nevada (U.S.)
William Beebe	American	20th	deep sea
Pyotr Beketov	Russian	17th	Siberia
Gertrude Bell	English	19th/20th	Greater Syria Mesopotamia Asia Minor Arabia
Fabian Gottlieb von Bellingshausen	Baltic German	19th	Antarctica
Joseph René Bellot	French	19th	Arctic
Móric Benyovszky	Hungarian	18th	northern Pacific Ocean[3]
Vitus Bering	Danish	18th	Northern Pacific Ocean, Bering Strait, Alaska (North America)
Hiram Bingham III	American	20th	Machu Picchu, Peru
Laura Bingham	English	20th/21st	South America
Isabella Bird	English	19th/20th	North America Hawaii Japan Korea China Vietnam Singapore Malaysia India Persia Kurdistan Turkey Morocco
John Blashford-Snell	English	20th/21st	various
Adriaen Block	Dutch	17th	East Coast of the United States
Nellie Bly	American	19th/20th	trip around the world in 72 days
Juan Francisco de la Bodega y Quadra	Spanish	18th	Pacific Northwest
Benjamin Bonneville	American	19th	Oregon Country, Great Basin
Daniel Boone	American	18th	Kentucky, Appalachian Mountains
Vittorio Bottego	Italian	19th	Somalia
Adam Brand	German	17th	Russia, China
Pierre Savorgnan de Brazza	Italian-French	19th	Congo
Saint Brendan	Irish	6th	Atlantic Ocean, Iceland
Jim Bridger	American	19th	Western United States
James Bruce	Scottish	18th	Algeria, the Middle East, Egypt
William S. Bruce	Scottish	20th	Antarctica
Jørgen Brønlund	Greenlandic	20th	Greenland
Étienne Brûlé	French	17th	Canada
Bungaree	Aboriginal Australian	18th/19th	Australian coasts
Lafayette Bunnell	American	19th	Yosemite Valley
Johann Ludwig Burckhardt	Swiss	19th	Middle East, Sudan
Robert O'Hara Burke	Irish	19th	Australia
Frederick Russell Burnham	American	19th/20th	Africa, Mexico
Richard Francis Burton	English	19th	East Africa
Thomas Button	Welsh	17th	Northwest Passage
José de Bustamante y Guerra	Spanish	18th	Pacific Ocean
Richard E. Byrd	American	20th	North Pole, Antarctica
Álvar Núñez Cabeza de Vaca	Spanish	16th	Southwestern United States, Mexico, Argentina
John Cabot[4]	Italian	15th	North American mainland (Canada)
Sebastian Cabot	Italian	15th	Northwest Passage (Canada), Río de la Plata, Paraná River (South America)
João Cabral	Portuguese	16th	Bhutan & Nepal
Pedro Álvares Cabral	Portuguese	15th/16th	Brazil, Madagascar
Juan Rodríguez Cabrillo	Portuguese	16th	California
Estêvão Cacella	Portuguese	16th	Himalayas
Alvise Cadamosto	Italian	15th	Cape Verde islands
Antoine de la Mothe Cadillac	French	18th	North America
René Caillié	French	19th	North Africa
Álvaro Caminha	Portuguese	15th	São Tomé and Príncipe islands
Pêro Vaz de Caminha	Portuguese	15th	Brazil
Alberto del Canto	Portuguese	15th/16th	Northwestern Mexico
Diogo Cão	Portuguese	15th	west coast of Africa (including the Congo River)
Hermenegildo de Brito Capelo	Portuguese	19th	African continent
John Carpini	Italian	13th	Central Asia, Mongolia
Juan Carrasco	Spanish	18th	Pacific Northwest
Kit Carson	American	19th	Rocky Mountains, California, Oregon, Great Basin
Jan Carstensz	Dutch	17th	New Guinea coast, Gulf of Carpentaria
Jacques Cartier	French	16th	St. Lawrence River
João de Castro	Portuguese	15th	India, Arabian Peninsula & Red Sea
René-Robert Cavelier de La Salle	French	17th	Mississippi embayment
Thomas Cavendish	English	16th	Virginia, Pacific coast of Central and South America
Merieme Chadid	Moroccan, French	20th/21st	Antarctica, South America, Asia, Astronomer
Paul Du Chaillu	French	19th	Africa
Harriet Chalmers Adams	American	19th/20th	South America, Asia, South Pacific
Samuel de Champlain	French	16th/17th	Quebec, Great Lakes
Chang Chun	Chinese	13th	Central Asia, Mongolia
Jean Chardin	French	17th	Persia, India
Semion Chelyuskin	Russian	18th	Great Northern Expedition
Vasily Chichagov	Russian	18th	Northern Sea Route
Aleksei Chirikov	Russian	18th	Great Northern Expedition
Fletcher Christian	English	18th	Polynesia
Boris Chukhnovsky	Russian	20th	Arctic
Hugh Clapperton	Scottish	19th	west and Central Africa
William Clark	American	19th	Western United States
Gonçalo Coelho	Portuguese	15th/16th	South American coast
Nicolau Coelho	Portuguese	15th	Brazil
Frank Cole	Canadian	20th	Sahara
Bartholomew Columbus	Italian (Genoese)	15th/16th	Hispaniola, The Antilles
Christopher Columbus[5]	Italian (Genoese)	15th/16th	Bahamas, Caribbean, Central America, South America (Colombia and Venezuela)
Diego Columbus	Portuguese	16th	Hispaniola (Mainly Dominican Republic)
George Comer	American	19th/20th	Arctic
Niccolò Da Conti	Italian (Venetian)	15th	India, Southeast Asia
Frederick Cook	American	19th/20th	Arctic
James Cook	English	18th	Australasia, Oceania
Francisco Vásquez de Coronado	Spanish	16th	New Mexico
Diogo Álvares Correia	Portuguese	16th	Brazil
Gaspar Côrte-Real	Portuguese	16th	Newfoundland, Greenland
João Côrte-Real	Portuguese	15th	Azores, Newfoundland (Possible exploration of North America in 1473)
Miguel Côrte-Real	Portuguese	16th	Greenland, Newfoundland, Massachusetts
Hernán Cortés	Spanish	16th	Mexico
Juan de la Cosa	Spanish	15th/16th	Caribbean, South America
Thomas Coulter	Irish	19th	Mexico, Alta California
Jean Cousin	French	15th	Possibly the Americas around 1488. Possibly mouth of the Amazon River
Jacques-Yves Cousteau	French	20th	the deep sea
Pêro da Covilhã	Portuguese	15th/16th	India, Ethiopia
Tom Crean	Irish	20th	Antarctica
Andrew Croft	English	20th	Arctic
Tristão da Cunha	Portuguese	16th	Tristan da Cunha islands
Jeremy Curl	English/Irish	20th	African continent
William Healey Dall	American	19th	Alaska, Yukon
William Dampier	English	17th/18th	Australia, Panama, many other locations
Alexandra David-Néel	French-Belgian	20th	Tibet (Traveled to Lhasa)
Isaac Davis	Welsh	18th	Hawaii
John Davis	English	16th	East Indies, Falkland Islands
Wang Dayuan	Chinese	14th	Southeast Asia, Singapore
Semyon Dezhnev	Russian	17th	Siberia, Bering Strait (80 years before Vitus Bering)
Bartolomeu Dias	Portuguese	15th	Africa
Dinis Dias	Portuguese	15th	Northwest African coast
Diogo Dias	Portuguese	16th	Madagascar, Somalia
Pêro Dias	Portuguese	15th	African coast
Dicuil	Irish	8th	England, Scotland
Karl von Ditmar	Baltic German	19th	Kamchatka
Raphaël Domjan	Swiss people	21st	various
Francis Drake	English	16th	Caribbean, Pacific Coast of North America
Gil Eanes	Portuguese	15th	Northwest African coast
Juan Sebastián Elcano	Spanish	16th	completed Ferdinand Magellan's circumnavigation
Francisco de Eliza	Spanish	18th	Strait of Juan de Fuca and Strait of Georgia
Lincoln Ellsworth	American	20th	Arctic and Antarctica
Franz Engel	German	19th	South America
Leif Eriksson	Norse Viking	11th	Vinland (Newfoundland) and North American mainland (Canada)
Erik the Red	Norse Viking	10th	Greenland
Pedro Escobar	Portuguese	15th	São Tomé and Príncipe islands
St Vincent Whitshed Erskine	British-South African	19th	Gazaland & Limpopo River
Eudoxus of Cyzicus	Greek	2nd BC	Indian Ocean, attempted circumnavigation of Africa
Euthymenes	Greek	6th BC	Northwest African coast
George Everest	Welsh	19th	India
Evliya Çelebi	Turkish	17th	Turkey, Egypt, Africa, Europe
Ahmad ibn Fadlan	Abbasid Caliphate	10th	Eastern Europe, Middle East, Russia, Scandinavia
João Álvares Fagundes	Portuguese	16th	Newfoundland and Nova Scotia
Edmund Fanning	American	18th/19th	Oceania
Percy Harrison Fawcett	English	20th	Amazon Rainforest
Álvaro Fernandes	Portuguese	15th	West African coast
Baltasar Fernandes	Portuguese	17th	Brazil
Duarte Fernandes	Portuguese	16th	Thailand
Juan Fernández	Spanish	16th	Juan Fernández Islands, Pacific Ocean
Salvador Fidalgo	Spanish	18th	Pacific Northwest
Peter Fidler	English	18th	Western Canada
Sir Ranulph Fiennes	English	20th/21st	Arctic, Antarctica
Matthew Flinders	English	18th/19th	Australia, Tasmania
Alexander Forbes	Scottish	19th	California
Peter Forsskål	Finnish	18th	Arabian Peninsula
John Franklin	English	19th	Northwest Passage
Simon Fraser	Scottish	18th/19th	British Columbia
Lançarote de Freitas	Portuguese	15th	Northwest African coast
John C. Frémont	American	19th	Oregon Trail, Sierra Nevada
Marc-Joseph Marion du Fresne	French	18th	Oceania
Louis de Freycinet	French	19th	Western Australia, Oceania
Martin Frobisher	English	16th	Northwest Passage, Canada
Xu Fu	Chinese	3rd BC	Japan
Juan de Fuca	Greek-Spanish	16th	Strait of Juan de Fuca, Canada–United States border
Vivian Fuchs	English	20th	Antarctica
Alfons Gabriel	Austrian	20th	Iran
Yuri Gagarin	Soviet	20th	Earth orbit
Martín Galeano	Italian (Genoese)-Spanish	16th	Colombia
Dionisio Alcalá Galiano	Spanish	18th	Pacific Northwest
Juan Galindo	Spanish/Irish	19th	Mesoamerica (Mayan remains)
Estevão da Gama	Portuguese	16th	Trindade and Martim Vaz islands, Indian Ocean
João da Gama	Portuguese	16th	Hokkaido, Kuril islands, North Pacific, North America
Paulo da Gama	Portuguese	15th	sea route from Europe to India
Vasco da Gama	Portuguese	15th/16th	sea route from Europe to India
Pedro Sarmiento de Gamboa	Spanish	16th	Solomon Islands
Thomas Gann	Irish	19th/20th	Mesoamerica (Mayan remains)
Aleixo Garcia	Portuguese	16th	Brazil, Paraguay and Bolivia
Francisco García Jofre de Loaísa	Spanish	16th	Pacific Ocean
Francis Garnier	French	19th	Mekong River
Adrien de Gerlache	Belgian	19th/20th	Antarctica, Arctic
Romolo Gessi	Italian	19th	the Nile, Sudan
Humphrey Gilbert	English	16th	North America
Ernest Giles	Australian	19th	Central Australia
Diogo Gomes	Portuguese	15th	West African coast
André Gonçalves	Portuguese	15th/16th	Brazil
Antão Gonçalves	Portuguese	15th	West African coast
Lopes Gonçalves	Portuguese	15th	Atlantic Ocean
Binot Paulmier de Gonneville	French	15th/16th	Brazil (Santa Catarina)
Sascha Grabow	German	20th/21st	DRC Congo
James Augustus Grant	Scottish	19th	East Africa
João Grego	Portuguese	15th	African coast
Juan de Grijalva	Spanish	16th	Mexico, Nicaragua
Grigory Grum-Grshimailo	Russian	19th/20th	Central Asia, Tuva, Far East
Gonzalo Guerrero	Spanish	16th	Yucatán Peninsula
Mikhail Gvozdev	Russian	18th	First Kamchatka Expedition, Great Northern Expedition
Charles Gwynn	Irish	19th/20th	Sudan
Niels Peter Høeg Hagen	Danish	20th	Greenland
Hanno the Navigator	Carthaginian	6th BC	West African coast
Hannu	Egyptian	21st/20th BC	East Africa
Gonzalo López de Haro	Spanish	18th	Pacific Northwest
Alfred Harrison	English	20th	Arctic
Dirk Hartog	Dutch	17th	Western Australian coast
Ahmed Pasha Hassanein[6]	Egyptian	20th	Oweinat and the Sahara
Ferdinand Vandeveer Hayden	American	19th	Rocky Mountains and the Western United States
Zheng He	Chinese	15th	South Asia, Southeast Asia, Middle East, East African coast
Samuel Hearne	English	18th	North Canada, Arctic
Bruno de Heceta	Spanish	18th	Pacific Northwest
Sven Hedin	Swedish	19th/20th	Central Asia
Matthew Alexander Henson	American	20th	Arctic
Louis Hennepin	Belgian-French	17th	North American interior
Pedro de Heredia	Spanish	16th	Northern Colombia
Bjarni Herjulfsson	Norse Viking	10th	North America
William Lewis Herndon	American	19th	Amazon basin
Herodotus	Greek	5th BC	Near East, Middle East, North Africa
Thor Heyerdahl	Norwegian	20th	anthropological ocean voyages
Sir Edmund Hillary	New Zealander	20th	Mount Everest, Antarctica
Himilco the Navigator	Carthaginian	6th BC	Northwestern coast of Europe
Hippalus	Greek	1st BC	Indian Ocean
Clement Hodgkinson	English	19th	New South Wales (Australia)
Pelham Aldrich	English	19th/20th	Arctic
Emil Holub	Czech	19th	Africa
Robert Hottot	French	20th	Congo River
Cornelis de Houtman	Dutch	16th	sea route from Europe to Indonesia
Frederick de Houtman	Dutch	16th/17th	Western Australian coast
William Hovell	English	19th	Southern New South Wales
Du Huan	Chinese	8th	Central Asia, Middle East, East African coast
Henry Hudson	English	17th	Northwest Passage, Hudson River and Hudson Bay
Alexander von Humboldt	German	19th	Latin America, Siberia
Hamilton Hume	Australian	19th	Australian interior
James S. Hutchinson	American	20th	Sierra Nevada (U.S.)
Hyecho	Korean	8th	India, Persia and Central Asia
João Infante	Portuguese	15th	African coast
Helge Ingstad	Norwegian	20th	Newfoundland, Greenland, Alaska
James Irwin	American	20th	The Moon
Kurbat Ivanov	Siberian Cossack	17th	Siberia, Russian Far East, discoverer of Lake Baikal
Roberto Ivens	Portuguese	19th	African continent
Cristóvão Jacques	Portuguese	16th	Paraná River, Brazil, Uruguay, Argentina
James of Ireland	Irish	14th	Sumatra, China
Willem Janszoon	Dutch	17th	Australia (Queensland)
Anthony Jenkinson	English	16th	Russia, Persia
Louis Jolliet	French Canadian	17th	Mississippi River
Jørgen Jørgensen	Danish	18th/19th	Tasmania
Friar Julian	Hungarian	13th	Volga Bulgaria
Thorfinn Karlsefni	Icelandic	11th	Vinland
Johann Karl Ehrenfried Kegel	German	19th	Kamchatka
George Kennan	American	19th/20th	Russia[7]
Edmund Kennedy	British-Australian	19th	Australian interior
Robert Kennicott	American	19th	Alaska, Siberia, Yukon and Northern Canada
Yerofey Khabarov	Russian	17th	Second Russian to explore the Amur region
Khashkhash Ibn Saeed Ibn Aswad	Andalusian	9th	Atlantic Ocean (possibly Americas)
Mary Kingsley	English	19th	Cameroon, Gabon, Congo, and other South West African regions
Eusebio Kino	Italian	17th/18th	Californias, Sonora and Arizona
Maria Klenova	Russian	20th	One of the founders of marine geology
Amyr Klink	Brazilian	20th	Antarctica
